productId,lowPrice,midPrice,highPrice,market_price,directLowPrice,subTypeName,card_name,pulled_at
610621,0.01,0.33,999.0,0.29,0.29,Holofoil,Glass Trumpet (Poke Ball Pattern),2026-08-17 05:05:41.093520
610622,0.01,0.3,999.0,0.29,0.28,Holofoil,Haban Berry (Poke Ball Pattern),2026-08-17 05:05:41.093520
610623,0.1,0.36,999.0,0.33,0.33,Holofoil,Janine's Secret Art - 112/131 (Poke Ball Pattern),2026-08-17 05:05:41.093520
610624,0.01,0.4,999.0,0.37,,Holofoil,Kieran - 113/131 (Poke Ball Pattern),2026-08-17 05:05:41.093520
610625,0.06,0.34,9999.0,0.31,0.29,Holofoil,Lacey - 114/131 (Poke Ball Pattern),2026-08-17 05:05:41.093520
610626,0.1,0.35,999.0,0.28,0.29,Holofoil,Larry's Skill - 115/131 (Poke Ball Pattern),2026-08-17 05:05:41.093520
610627,0.1,0.32,1000.0,0.31,0.27,Holofoil,Ogre's Mask (Poke Ball Pattern),2026-08-17 05:05:41.093520
610628,0.01,0.34,999.0,0.34,0.3,Holofoil,Professor Sada's Vitality (Poke Ball Pattern),2026-08-17 05:05:41.093520
610629,0.01,0.36,999.0,0.34,0.28,Holofoil,Professor Turo's Scenario (Poke Ball Pattern),2026-08-17 05:05:41.093520
610630,0.1,0.4,999.0,0.38,0.33,Holofoil,Professor's Research [Professor Oak] (Poke Ball Pattern),2026-08-17 05:05:41.093520
610631,0.05,0.34,999.0,0.3,0.31,Holofoil,Professor's Research [Professor Elm] (Poke Ball Pattern),2026-08-17 05:05:41.093520
610632,0.09,0.35,999.0,0.32,0.29,Holofoil,Professor's Research [Professor Rowan] (Poke Ball Pattern),2026-08-17 05:05:41.093520
610633,0.06,0.35,999.0,0.31,0.3,Holofoil,Professor's Research [Professor Sycamore] (Poke Ball Pattern),2026-08-17 05:05:41.093520
610634,0.09,0.34,999.0,0.31,0.3,Holofoil,Rescue Board (Poke Ball Pattern),2026-08-17 05:05:41.093520
610635,0.05,0.42,999.0,0.37,0.4,Holofoil,Roto-Stick (Poke Ball Pattern),2026-08-17 05:05:41.093520
610636,0.09,0.33,999.0,0.3,0.26,Holofoil,Techno Radar (Poke Ball Pattern),2026-08-17 05:05:41.093520
610637,0.65,1.58,999.0,1.16,,Holofoil,Exeggcute (Master Ball Pattern),2026-08-17 05:05:41.093520
610638,9.27,11.57,999.0,10.56,,Holofoil,Exeggutor (Master Ball Pattern),2026-08-17 05:05:41.093520
610639,1.0,1.75,999.0,1.23,,Holofoil,Pinsir (Master Ball Pattern),2026-08-17 05:05:41.093520
610640,2.49,3.92,999.0,3.56,,Holofoil,Budew (Master Ball Pattern),2026-08-17 05:05:41.093520
610641,32.4,39.41,999.0,34.56,,Holofoil,Leafeon (Master Ball Pattern),2026-08-17 05:05:41.093520
610642,0.43,1.52,999.0,1.39,,Holofoil,Cottonee (Master Ball Pattern),2026-08-17 05:05:41.093520
610643,8.99,12.09,999.0,11.62,,Holofoil,Whimsicott (Master Ball Pattern),2026-08-17 05:05:41.093520
610644,1.93,3.08,999.0,2.48,24.48,Holofoil,Applin (Master Ball Pattern),2026-08-17 05:05:41.093520
610645,1.69,2.6,999.0,2.45,38.49,Holofoil,Dipplin (Master Ball Pattern),2026-08-17 05:05:41.093520
610646,28.75,33.16,999.0,30.04,,Holofoil,Flareon (Master Ball Pattern),2026-08-17 05:05:41.093520
610647,0.72,1.55,999.0,1.27,1.59,Holofoil,Litleo (Master Ball Pattern),2026-08-17 05:05:41.093520
610648,0.4,1.44,999.0,1.17,,Holofoil,Pyroar (Master Ball Pattern),2026-08-17 05:05:41.093520
610649,6.52,8.3,999.0,7.23,9.73,Holofoil,Slowpoke (Master Ball Pattern),2026-08-17 05:05:41.093520
610650,1.45,2.34,999.0,1.93,1.99,Holofoil,Slowking (Master Ball Pattern),2026-08-17 05:05:41.093520
610651,1.75,3.18,999.0,2.96,3.89,Holofoil,Goldeen (Master Ball Pattern),2026-08-17 05:05:41.093520
610652,1.0,3.33,999.0,3.28,3.23,Holofoil,Seaking (Master Ball Pattern),2026-08-17 05:05:41.093520
610653,35.1,41.55,999.0,38.42,,Holofoil,Vaporeon (Master Ball Pattern),2026-08-17 05:05:41.093520
610654,11.0,15.0,999.0,13.09,,Holofoil,Suicune (Master Ball Pattern),2026-08-17 05:05:41.093520
610655,22.66,34.31,999.0,27.77,,Holofoil,Glaceon (Master Ball Pattern),2026-08-17 05:05:41.093520
610656,23.89,34.17,9999.0,31.46,,Holofoil,Jolteon (Master Ball Pattern),2026-08-17 05:05:41.093520
610658,25.0,31.19,999.0,27.16,,Holofoil,Espeon (Master Ball Pattern),2026-08-17 05:05:41.093520
610659,1.69,2.92,999.0,2.5,3.37,Holofoil,Duskull (Master Ball Pattern),2026-08-17 05:05:41.093520
610660,1.5,2.22,999.0,1.92,,Holofoil,Dusclops (Master Ball Pattern),2026-08-17 05:05:41.093520
610661,7.0,11.0,999.0,10.37,,Holofoil,Dusknoir (Master Ball Pattern),2026-08-17 05:05:41.093520
610662,0.65,1.32,999.0,1.1,,Holofoil,Spritzee (Master Ball Pattern),2026-08-17 05:05:41.093520
610663,5.0,6.54,999.0,6.27,,Holofoil,Aromatisse (Master Ball Pattern),2026-08-17 05:05:41.093520
610664,32.59,36.28,999.0,32.73,,Holofoil,Sylveon (Master Ball Pattern),2026-08-17 05:05:41.093520
610665,8.0,9.99,999.0,9.14,10.0,Holofoil,Scream Tail (Master Ball Pattern),2026-08-17 05:05:41.093520
610666,10.82,13.74,999.0,11.45,,Holofoil,Flutter Mane (Master Ball Pattern),2026-08-17 05:05:41.093520
610667,10.49,12.21,999.0,11.02,,Holofoil,Munkidori (Master Ball Pattern),2026-08-17 05:05:41.093520
610668,4.99,7.0,999.0,6.1,,Holofoil,Fezandipiti (Master Ball Pattern),2026-08-17 05:05:41.093520
610669,5.76,8.0,999.0,7.3,,Holofoil,Iron Boulder (Master Ball Pattern),2026-08-17 05:05:41.093520
610670,1.68,2.59,999.0,2.45,,Holofoil,Larvitar (Master Ball Pattern),2026-08-17 05:05:41.093520
610671,8.0,9.73,999.0,9.16,,Holofoil,Pupitar (Master Ball Pattern),2026-08-17 05:05:41.093520
610672,8.84,11.6,999.0,10.26,,Holofoil,Groudon (Master Ball Pattern),2026-08-17 05:05:41.093520
610673,11.75,15.0,999.0,13.06,,Holofoil,Riolu (Master Ball Pattern),2026-08-17 05:05:41.093520
610674,0.73,1.3,999.0,1.09,,Holofoil,Hippopotas (Master Ball Pattern),2026-08-17 05:05:41.093520
610675,5.0,8.0,999.0,8.04,29.99,Holofoil,Hippowdon (Master Ball Pattern),2026-08-17 05:05:41.093520
610676,8.1,9.16,999.0,8.48,,Holofoil,Bloodmoon Ursaluna (Master Ball Pattern),2026-08-17 05:05:41.093520
610677,5.36,6.52,999.0,5.73,6.69,Holofoil,Great Tusk (Master Ball Pattern),2026-08-17 05:05:41.093520
610678,5.65,7.25,999.0,7.2,24.9,Holofoil,Okidogi (Master Ball Pattern),2026-08-17 05:05:41.093520
610679,67.49,86.37,999.0,80.43,,Holofoil,Umbreon (Master Ball Pattern),2026-08-17 05:05:41.093520
610680,0.75,1.44,999.0,1.19,,Holofoil,Sneasel (Master Ball Pattern),2026-08-17 05:05:41.093520
610681,0.7,1.61,999.0,1.2,,Holofoil,Houndour (Master Ball Pattern),2026-08-17 05:05:41.093520
610682,8.6,11.95,999.0,10.74,,Holofoil,Houndoom (Master Ball Pattern),2026-08-17 05:05:41.093520
610683,5.4,8.05,9999.0,7.71,10.27,Holofoil,Roaring Moon (Master Ball Pattern),2026-08-17 05:05:41.093520
610684,0.7,1.22,999.0,1.0,1.72,Holofoil,Bronzor (Master Ball Pattern),2026-08-17 05:05:41.093520
610685,4.15,5.23,999.0,4.96,,Holofoil,Bronzong (Master Ball Pattern),2026-08-17 05:05:41.093520
610686,0.73,1.25,999.0,1.05,,Holofoil,Heatran (Master Ball Pattern),2026-08-17 05:05:41.093520
610687,0.75,2.14,999.0,2.06,4.45,Holofoil,Duraludon (Master Ball Pattern),2026-08-17 05:05:41.093520
610688,4.0,5.35,999.0,4.69,,Holofoil,Archaludon (Master Ball Pattern),2026-08-17 05:05:41.093520
610689,1.98,3.25,9999.0,2.55,2.99,Holofoil,Dreepy (Master Ball Pattern),2026-08-17 05:05:41.093520
610690,1.9,3.5,999.0,2.94,9.99,Holofoil,Drakloak (Master Ball Pattern),2026-08-17 05:05:41.093520
610691,15.51,22.89,999.0,19.94,22.75,Holofoil,Eevee (Master Ball Pattern),2026-08-17 05:05:41.093520
610692,0.89,1.75,999.0,1.46,,Holofoil,Hoothoot (Master Ball Pattern),2026-08-17 05:05:41.093520
610693,6.79,8.92,999.0,8.02,,Holofoil,Noctowl (Master Ball Pattern),2026-08-17 05:05:41.093520
610694,1.25,2.01,999.0,1.99,2.95,Holofoil,Dunsparce (Master Ball Pattern),2026-08-17 05:05:41.093520
610695,16.51,21.04,999.0,19.92,99.98,Holofoil,Dudunsparce (Master Ball Pattern),2026-08-17 05:05:41.093520
