card_name,rarity,market_price,date
Amarys - 132/131 | Holofoil,Ultra Rare,4.09,2025-01-17
Applin (Master Ball Pattern) | Holofoil,Common,9.99,2025-01-17
Applin (Poke Ball Pattern) | Holofoil,Common,3.58,2025-01-17
Archaludon (Master Ball Pattern) | Holofoil,Rare,20.0,2025-01-17
Area Zero Underdepths (Poke Ball Pattern) | Holofoil,Uncommon,4.44,2025-01-17
Atticus - 133/131 | Holofoil,Ultra Rare,5.53,2025-01-17
Atticus - 134/131 | Holofoil,Ultra Rare,3.11,2025-01-17
Binding Mochi (Poke Ball Pattern) | Holofoil,Uncommon,2.46,2025-01-17
Black Belt's Training - 096/131 (Poke Ball Pattern) | Holofoil,Common,3.63,2025-01-17
Black Belt's Training - 097/131 (Poke Ball Pattern) | Holofoil,Common,2.72,2025-01-17
Bloodmoon Ursaluna (Poke Ball Pattern) | Holofoil,Rare,3.88,2025-01-17
Bloodmoon Ursaluna ex | Holofoil,Special Illustration Rare,99.99,2025-01-17
Brassius | Holofoil,Ultra Rare,4.66,2025-01-17
Briar (Poke Ball Pattern) | Holofoil,Uncommon,4.71,2025-01-17
Buddy-Buddy Poffin (Poke Ball Pattern) | Holofoil,Uncommon,5.0,2025-01-17
Budew (Master Ball Pattern) | Holofoil,Common,42.0,2025-01-17
Budew (Poke Ball Pattern) | Holofoil,Common,19.53,2025-01-17
Budew | Normal,Common,2.54,2025-01-17
Budew | Reverse Holofoil,Common,4.8,2025-01-17
Carmine (Poke Ball Pattern) | Holofoil,Uncommon,7.28,2025-01-17
Ciphermaniac's Codebreaking (Poke Ball Pattern) | Holofoil,Uncommon,5.21,2025-01-17
Cornerstone Mask Ogerpon ex - 160/131 | Holofoil,Special Illustration Rare,98.0,2025-01-17
Crispin - 105/131 (Poke Ball Pattern) | Holofoil,Uncommon,2.96,2025-01-17
Dipplin (Poke Ball Pattern) | Holofoil,Uncommon,3.99,2025-01-17
Dragapult ex - 165/131 | Holofoil,Special Illustration Rare,89.14,2025-01-17
Drakloak (Master Ball Pattern) | Holofoil,Common,40.0,2025-01-17
Drakloak (Poke Ball Pattern) | Holofoil,Common,16.45,2025-01-17
Drayton | Holofoil,Special Illustration Rare,4.95,2025-01-17
Dreepy (Master Ball Pattern) | Holofoil,Common,17.98,2025-01-17
Dreepy (Poke Ball Pattern) | Holofoil,Common,15.5,2025-01-17
Duraludon (Master Ball Pattern) | Holofoil,Common,18.99,2025-01-17
Duraludon (Poke Ball Pattern) | Holofoil,Common,5.49,2025-01-17
Dusclops (Poke Ball Pattern) | Holofoil,Common,3.99,2025-01-17
Dusknoir (Poke Ball Pattern) | Holofoil,Rare,3.99,2025-01-17
Duskull (Poke Ball Pattern) | Holofoil,Common,3.99,2025-01-17
Eevee (Poke Ball Pattern) | Holofoil,Common,31.75,2025-01-17
Eevee ex - 075/131 | Holofoil,Double Rare,9.4,2025-01-17
Eevee ex - 167/131 | Holofoil,Special Illustration Rare,116.25,2025-01-17
Eri | Holofoil,Ultra Rare,6.5,2025-01-17
Espeon (Poke Ball Pattern) | Holofoil,Rare,18.77,2025-01-17
Espeon ex - 034/131 | Holofoil,Double Rare,12.34,2025-01-17
Exeggcute (Master Ball Pattern) | Holofoil,Common,14.5,2025-01-17
Exeggcute (Poke Ball Pattern) | Holofoil,Common,5.0,2025-01-17
Exeggutor (Poke Ball Pattern) | Holofoil,Uncommon,2.75,2025-01-17
Fan Rotom (Master Ball Pattern) | Holofoil,Common,21.39,2025-01-17
Flareon (Poke Ball Pattern) | Holofoil,Rare,22.12,2025-01-17
Flareon ex - 014/131 | Holofoil,Double Rare,11.67,2025-01-17
Friends in Paldea - 109/131 (Poke Ball Pattern) | Holofoil,Common,9.99,2025-01-17
Friends in Paldea - 137/131 | Holofoil,Ultra Rare,11.62,2025-01-17
Gholdengo ex | Holofoil,Special Illustration Rare,67.0,2025-01-17
Glaceon (Poke Ball Pattern) | Holofoil,Rare,27.05,2025-01-17
Glaceon ex - 026/131 | Holofoil,Double Rare,8.99,2025-01-17
Goldeen (Poke Ball Pattern) | Holofoil,Common,4.38,2025-01-17
Great Tusk (Master Ball Pattern) | Holofoil,Uncommon,9.99,2025-01-17
Groudon (Poke Ball Pattern) | Holofoil,Rare,10.0,2025-01-17
Hawlucha (Master Ball Pattern) | Holofoil,Uncommon,20.0,2025-01-17
Hawlucha (Poke Ball Pattern) | Holofoil,Uncommon,3.99,2025-01-17
Hearthflame Mask Ogerpon ex - 148/131 | Holofoil,Special Illustration Rare,57.5,2025-01-17
Heatran (Master Ball Pattern) | Holofoil,Uncommon,12.97,2025-01-17
Heatran (Poke Ball Pattern) | Holofoil,Uncommon,3.98,2025-01-17
Hoothoot (Master Ball Pattern) | Holofoil,Common,14.99,2025-01-17
Houndoom (Master Ball Pattern) | Holofoil,Common,25.0,2025-01-17
Houndoom (Poke Ball Pattern) | Holofoil,Common,6.74,2025-01-17
Houndour (Master Ball Pattern) | Holofoil,Common,18.2,2025-01-17
Houndour (Poke Ball Pattern) | Holofoil,Common,3.16,2025-01-17
Hydrapple ex | Holofoil,Double Rare,6.34,2025-01-17
Iron Boulder (Master Ball Pattern) | Holofoil,Rare,25.0,2025-01-17
Iron Boulder (Poke Ball Pattern) | Holofoil,Rare,7.47,2025-01-17
Iron Hands ex - 154/131 | Holofoil,Special Illustration Rare,69.98,2025-01-17
Iron Leaves ex | Holofoil,Hyper Rare,17.04,2025-01-17
Iron Thorns ex | Holofoil,Double Rare,3.67,2025-01-17
Janine's Secret Art - 173/131 | Holofoil,Special Illustration Rare,54.66,2025-01-17
Jolteon (Poke Ball Pattern) | Holofoil,Rare,13.64,2025-01-17
Jolteon ex - 030/131 | Holofoil,Double Rare,8.8,2025-01-17
Kieran - 113/131 (Poke Ball Pattern) | Holofoil,Uncommon,7.6,2025-01-17
Kieran - 174/131 | Holofoil,Special Illustration Rare,53.6,2025-01-17
Lacey - 114/131 (Poke Ball Pattern) | Holofoil,Uncommon,13.49,2025-01-17
Lacey - 175/131 | Holofoil,Special Illustration Rare,99.99,2025-01-17
Larry's Skill - 139/131 | Holofoil,Ultra Rare,6.16,2025-01-17
Larvitar (Master Ball Pattern) | Holofoil,Common,24.67,2025-01-17
Leafeon (Poke Ball Pattern) | Holofoil,Rare,36.44,2025-01-17
Leafeon ex - 006/131 | Holofoil,Double Rare,11.34,2025-01-17
Leafeon ex - 144/131 | Holofoil,Special Illustration Rare,489.0,2025-01-17
Litleo (Poke Ball Pattern) | Holofoil,Common,3.5,2025-01-17
Lucario ex | Holofoil,Double Rare,6.52,2025-01-17
Lugia ex | Holofoil,Double Rare,6.59,2025-01-17
Max Rod | Holofoil,ACE SPEC Rare,4.15,2025-01-17
Maximum Belt | Holofoil,ACE SPEC Rare,2.74,2025-01-17
Mela | Holofoil,Ultra Rare,11.16,2025-01-17
Okidogi (Master Ball Pattern) | Holofoil,Rare,17.99,2025-01-17
Okidogi (Poke Ball Pattern) | Holofoil,Rare,2.95,2025-01-17
Ortega | Holofoil,Ultra Rare,7.04,2025-01-17
Palafin ex | Holofoil,Special Illustration Rare,61.66,2025-01-17
Pikachu ex - 028/131 | Holofoil,Double Rare,11.36,2025-01-17
Pikachu ex - 179/131 | Holofoil,Hyper Rare,325.0,2025-01-17
Pinsir (Master Ball Pattern) | Holofoil,Common,25.0,2025-01-17
Pinsir (Poke Ball Pattern) | Holofoil,Common,4.0,2025-01-17
Prime Catcher | Holofoil,ACE SPEC Rare,4.09,2025-01-17
Professor Sada's Vitality (Poke Ball Pattern) | Holofoil,Uncommon,4.04,2025-01-17
Professor's Research [Professor Oak] (Poke Ball Pattern) | Holofoil,Common,6.84,2025-01-17
Pupitar (Master Ball Pattern) | Holofoil,Common,14.0,2025-01-17
Pupitar (Poke Ball Pattern) | Holofoil,Common,5.0,2025-01-17
Pyroar (Master Ball Pattern) | Holofoil,Uncommon,5.16,2025-01-17
Pyroar (Poke Ball Pattern) | Holofoil,Uncommon,3.2,2025-01-17
Raging Bolt ex | Holofoil,Special Illustration Rare,99.99,2025-01-17
Raifort | Holofoil,Ultra Rare,8.63,2025-01-17
Regigigas (Master Ball Pattern) | Holofoil,Uncommon,25.0,2025-01-17
Regigigas (Poke Ball Pattern) | Holofoil,Uncommon,5.54,2025-01-17
Regigigas | Reverse Holofoil,Uncommon,2.28,2025-01-17
Riolu (Master Ball Pattern) | Holofoil,Common,18.25,2025-01-17
Riolu (Poke Ball Pattern) | Holofoil,Common,3.99,2025-01-17
Roaring Moon (Master Ball Pattern) | Holofoil,Rare,25.99,2025-01-17
Roaring Moon (Poke Ball Pattern) | Holofoil,Rare,3.96,2025-01-17
Roaring Moon ex | Holofoil,Special Illustration Rare,225.0,2025-01-17
Sandy Shocks ex - 056/131 | Holofoil,Double Rare,2.4,2025-01-17
Sandy Shocks ex - 159/131 | Holofoil,Special Illustration Rare,44.92,2025-01-17
Seaking (Master Ball Pattern) | Holofoil,Uncommon,9.38,2025-01-17
Shaymin (Poke Ball Pattern) | Holofoil,Uncommon,3.0,2025-01-17
Slowking (Poke Ball Pattern) | Holofoil,Uncommon,5.63,2025-01-17
Slowpoke (Poke Ball Pattern) | Holofoil,Common,14.9,2025-01-17
Snorlax ex | Holofoil,Double Rare,6.23,2025-01-17
Spritzee (Poke Ball Pattern) | Holofoil,Common,3.0,2025-01-17
Suicune (Master Ball Pattern) | Holofoil,Uncommon,60.26,2025-01-17
Suicune (Poke Ball Pattern) | Holofoil,Uncommon,8.99,2025-01-17
Sylveon (Master Ball Pattern) | Holofoil,Rare,149.99,2025-01-17
Sylveon (Poke Ball Pattern) | Holofoil,Rare,43.91,2025-01-17
Sylveon ex - 041/131 | Holofoil,Double Rare,9.42,2025-01-17
Sylveon ex - 156/131 | Holofoil,Special Illustration Rare,708.7,2025-01-17
Teal Mask Ogerpon ex - 012/131 | Holofoil,Double Rare,2.84,2025-01-17
Teal Mask Ogerpon ex - 145/131 | Holofoil,Special Illustration Rare,56.94,2025-01-17
Terapagos ex - 092/131 | Holofoil,Double Rare,4.56,2025-01-17
Terapagos ex - 180/131 | Holofoil,Hyper Rare,4.95,2025-01-17
Treasure Tracker | Holofoil,ACE SPEC Rare,4.1,2025-01-17
Tyranitar ex | Holofoil,Double Rare,4.05,2025-01-17
Umbreon (Poke Ball Pattern) | Holofoil,Rare,41.56,2025-01-17
Umbreon ex - 060/131 | Holofoil,Double Rare,14.69,2025-01-17
Umbreon ex - 161/131 | Holofoil,Special Illustration Rare,1600.0,2025-01-17
Umbreon | Reverse Holofoil,Rare,7.66,2025-01-17
Vaporeon (Poke Ball Pattern) | Holofoil,Rare,23.78,2025-01-17
Vaporeon ex - 023/131 | Holofoil,Double Rare,14.05,2025-01-17
Vaporeon | Reverse Holofoil,Rare,13.72,2025-01-17
Wellspring Mask Ogerpon ex - 152/131 | Holofoil,Special Illustration Rare,49.0,2025-01-17
Whimsicott (Master Ball Pattern) | Holofoil,Rare,8.86,2025-01-17
Amarys - 132/131 | Holofoil,Ultra Rare,2.77,2025-01-18
Amarys - 170/131 | Holofoil,Special Illustration Rare,22.33,2025-01-18
Applin (Master Ball Pattern) | Holofoil,Common,9.5,2025-01-18
Applin (Poke Ball Pattern) | Holofoil,Common,2.95,2025-01-18
Archaludon (Master Ball Pattern) | Holofoil,Rare,19.75,2025-01-18
Archaludon (Poke Ball Pattern) | Holofoil,Rare,2.57,2025-01-18
Aromatisse (Master Ball Pattern) | Holofoil,Common,7.57,2025-01-18
Atticus - 133/131 | Holofoil,Ultra Rare,2.6,2025-01-18
Atticus - 134/131 | Holofoil,Ultra Rare,2.47,2025-01-18
Black Belt's Training - 096/131 (Poke Ball Pattern) | Holofoil,Common,2.84,2025-01-18
Bloodmoon Ursaluna (Master Ball Pattern) | Holofoil,Rare,40.0,2025-01-18
Bloodmoon Ursaluna (Poke Ball Pattern) | Holofoil,Rare,3.37,2025-01-18
Bloodmoon Ursaluna ex | Holofoil,Special Illustration Rare,96.68,2025-01-18
Brassius | Holofoil,Ultra Rare,2.69,2025-01-18
Briar (Poke Ball Pattern) | Holofoil,Uncommon,2.93,2025-01-18
Bronzong (Master Ball Pattern) | Holofoil,Uncommon,7.62,2025-01-18
Bronzor (Master Ball Pattern) | Holofoil,Common,16.5,2025-01-18
Buddy-Buddy Poffin (Poke Ball Pattern) | Holofoil,Uncommon,3.52,2025-01-18
Budew (Master Ball Pattern) | Holofoil,Common,40.11,2025-01-18
Budew (Poke Ball Pattern) | Holofoil,Common,13.87,2025-01-18
Budew | Reverse Holofoil,Common,2.43,2025-01-18
Bug Catching Set (Poke Ball Pattern) | Holofoil,Uncommon,2.01,2025-01-18
Carmine (Poke Ball Pattern) | Holofoil,Uncommon,4.72,2025-01-18
Ceruledge ex | Holofoil,Special Illustration Rare,154.19,2025-01-18
Ciphermaniac's Codebreaking (Poke Ball Pattern) | Holofoil,Uncommon,3.62,2025-01-18
Cornerstone Mask Ogerpon ex - 160/131 | Holofoil,Special Illustration Rare,79.0,2025-01-18
Cottonee (Master Ball Pattern) | Holofoil,Common,9.35,2025-01-18
Crispin - 105/131 (Poke Ball Pattern) | Holofoil,Uncommon,2.03,2025-01-18
Crispin - 171/131 | Holofoil,Special Illustration Rare,55.0,2025-01-18
Dipplin (Master Ball Pattern) | Holofoil,Uncommon,17.5,2025-01-18
Dipplin (Poke Ball Pattern) | Holofoil,Uncommon,2.28,2025-01-18
Dragapult ex - 165/131 | Holofoil,Special Illustration Rare,111.27,2025-01-18
Drakloak (Master Ball Pattern) | Holofoil,Common,27.32,2025-01-18
Drakloak (Poke Ball Pattern) | Holofoil,Common,10.97,2025-01-18
Drayton | Holofoil,Special Illustration Rare,29.24,2025-01-18
Dreepy (Master Ball Pattern) | Holofoil,Common,17.16,2025-01-18
Dreepy (Poke Ball Pattern) | Holofoil,Common,8.88,2025-01-18
Dudunsparce (Poke Ball Pattern) | Holofoil,Rare,3.2,2025-01-18
Dunsparce (Master Ball Pattern) | Holofoil,Common,10.08,2025-01-18
Duraludon (Master Ball Pattern) | Holofoil,Common,13.37,2025-01-18
Duraludon (Poke Ball Pattern) | Holofoil,Common,4.0,2025-01-18
Dusclops (Master Ball Pattern) | Holofoil,Common,10.54,2025-01-18
Dusclops (Poke Ball Pattern) | Holofoil,Common,2.35,2025-01-18
Dusknoir (Master Ball Pattern) | Holofoil,Rare,40.0,2025-01-18
Duskull (Master Ball Pattern) | Holofoil,Common,9.6,2025-01-18
Duskull (Poke Ball Pattern) | Holofoil,Common,3.96,2025-01-18
Earthen Vessel (Poke Ball Pattern) | Holofoil,Uncommon,3.17,2025-01-18
Eevee (Master Ball Pattern) | Holofoil,Common,66.29,2025-01-18
Eevee (Poke Ball Pattern) | Holofoil,Common,15.89,2025-01-18
Eevee ex - 075/131 | Holofoil,Double Rare,9.47,2025-01-18
Eevee ex - 167/131 | Holofoil,Special Illustration Rare,218.83,2025-01-18
Eri | Holofoil,Ultra Rare,5.14,2025-01-18
Espeon (Master Ball Pattern) | Holofoil,Rare,111.32,2025-01-18
Espeon (Poke Ball Pattern) | Holofoil,Rare,11.76,2025-01-18
Espeon ex - 034/131 | Holofoil,Double Rare,7.36,2025-01-18
Espeon ex - 155/131 | Holofoil,Special Illustration Rare,310.0,2025-01-18
Exeggcute (Master Ball Pattern) | Holofoil,Common,8.69,2025-01-18
Exeggcute (Poke Ball Pattern) | Holofoil,Common,2.42,2025-01-18
Explorer's Guidance (Poke Ball Pattern) | Holofoil,Uncommon,4.82,2025-01-18
Fan Rotom (Master Ball Pattern) | Holofoil,Common,19.16,2025-01-18
Fan Rotom (Poke Ball Pattern) | Holofoil,Common,2.95,2025-01-18
Festival Grounds (Poke Ball Pattern) | Holofoil,Uncommon,2.45,2025-01-18
Flareon (Master Ball Pattern) | Holofoil,Rare,99.13,2025-01-18
Flareon (Poke Ball Pattern) | Holofoil,Rare,12.15,2025-01-18
Flareon ex - 014/131 | Holofoil,Double Rare,9.19,2025-01-18
Flareon ex - 146/131 | Holofoil,Special Illustration Rare,232.0,2025-01-18
Flutter Mane (Master Ball Pattern) | Holofoil,Rare,21.24,2025-01-18
Friends in Paldea - 109/131 (Poke Ball Pattern) | Holofoil,Common,2.14,2025-01-18
Friends in Paldea - 137/131 | Holofoil,Ultra Rare,6.11,2025-01-18
Furfrou (Poke Ball Pattern) | Holofoil,Common,2.18,2025-01-18
Gholdengo ex | Holofoil,Special Illustration Rare,69.33,2025-01-18
Glaceon (Master Ball Pattern) | Holofoil,Rare,100.0,2025-01-18
Glaceon (Poke Ball Pattern) | Holofoil,Rare,15.39,2025-01-18
Glaceon ex - 026/131 | Holofoil,Double Rare,4.37,2025-01-18
Glaceon ex - 150/131 | Holofoil,Special Illustration Rare,267.23,2025-01-18
Glass Trumpet (Poke Ball Pattern) | Holofoil,Uncommon,2.56,2025-01-18
Goldeen (Master Ball Pattern) | Holofoil,Common,11.66,2025-01-18
Goldeen (Poke Ball Pattern) | Holofoil,Common,2.57,2025-01-18
Great Tusk (Master Ball Pattern) | Holofoil,Uncommon,12.95,2025-01-18
Groudon (Poke Ball Pattern) | Holofoil,Rare,7.45,2025-01-18
Hawlucha (Master Ball Pattern) | Holofoil,Uncommon,15.56,2025-01-18
Hawlucha (Poke Ball Pattern) | Holofoil,Uncommon,2.9,2025-01-18
Hearthflame Mask Ogerpon ex - 148/131 | Holofoil,Special Illustration Rare,53.45,2025-01-18
Heatran (Master Ball Pattern) | Holofoil,Uncommon,13.89,2025-01-18
Heatran (Poke Ball Pattern) | Holofoil,Uncommon,3.38,2025-01-18
Hippopotas (Master Ball Pattern) | Holofoil,Common,10.87,2025-01-18
Hippowdon (Master Ball Pattern) | Holofoil,Common,12.99,2025-01-18
Hoothoot (Master Ball Pattern) | Holofoil,Common,14.36,2025-01-18
Hoothoot (Poke Ball Pattern) | Holofoil,Common,2.48,2025-01-18
Houndoom (Master Ball Pattern) | Holofoil,Common,33.99,2025-01-18
Houndoom (Poke Ball Pattern) | Holofoil,Common,5.67,2025-01-18
Houndour (Master Ball Pattern) | Holofoil,Common,16.69,2025-01-18
Houndour (Poke Ball Pattern) | Holofoil,Common,2.35,2025-01-18
Iron Boulder (Master Ball Pattern) | Holofoil,Rare,25.0,2025-01-18
Iron Boulder (Poke Ball Pattern) | Holofoil,Rare,2.98,2025-01-18
Iron Crown ex | Holofoil,Special Illustration Rare,85.0,2025-01-18
Iron Hands ex - 154/131 | Holofoil,Special Illustration Rare,68.92,2025-01-18
Iron Leaves ex | Holofoil,Hyper Rare,21.24,2025-01-18
Iron Thorns ex | Holofoil,Double Rare,2.36,2025-01-18
Iron Valiant ex | Holofoil,Special Illustration Rare,99.99,2025-01-18
Janine's Secret Art - 173/131 | Holofoil,Special Illustration Rare,55.95,2025-01-18
Jolteon (Master Ball Pattern) | Holofoil,Rare,92.13,2025-01-18
Jolteon (Poke Ball Pattern) | Holofoil,Rare,4.6,2025-01-18
Jolteon ex - 030/131 | Holofoil,Double Rare,7.25,2025-01-18
Jolteon ex - 153/131 | Holofoil,Special Illustration Rare,232.91,2025-01-18
Kieran - 113/131 (Poke Ball Pattern) | Holofoil,Uncommon,3.3,2025-01-18
Kieran - 174/131 | Holofoil,Special Illustration Rare,54.57,2025-01-18
Lacey - 114/131 (Poke Ball Pattern) | Holofoil,Uncommon,5.4,2025-01-18
Lacey - 175/131 | Holofoil,Special Illustration Rare,99.99,2025-01-18
Larry's Skill - 139/131 | Holofoil,Ultra Rare,4.05,2025-01-18
Larvitar (Master Ball Pattern) | Holofoil,Common,23.28,2025-01-18
Leafeon (Master Ball Pattern) | Holofoil,Rare,85.0,2025-01-18
Leafeon (Poke Ball Pattern) | Holofoil,Rare,7.58,2025-01-18
Leafeon ex - 006/131 | Holofoil,Double Rare,4.53,2025-01-18
Leafeon ex - 144/131 | Holofoil,Special Illustration Rare,463.63,2025-01-18
Litleo (Master Ball Pattern) | Holofoil,Common,4.99,2025-01-18
Litleo (Poke Ball Pattern) | Holofoil,Common,2.19,2025-01-18
Lopunny (Master Ball Pattern) | Holofoil,Common,9.58,2025-01-18
Lugia ex | Holofoil,Double Rare,2.23,2025-01-18
Max Rod | Holofoil,ACE SPEC Rare,2.32,2025-01-18
Mela | Holofoil,Ultra Rare,4.38,2025-01-18
Miltank (Master Ball Pattern) | Holofoil,Common,12.82,2025-01-18
Miltank (Poke Ball Pattern) | Holofoil,Common,3.87,2025-01-18
Munkidori (Master Ball Pattern) | Holofoil,Rare,5.5,2025-01-18
Munkidori (Poke Ball Pattern) | Holofoil,Rare,2.9,2025-01-18
Noctowl (Master Ball Pattern) | Holofoil,Rare,38.58,2025-01-18
Noctowl (Poke Ball Pattern) | Holofoil,Rare,2.04,2025-01-18
Noibat (Master Ball Pattern) | Holofoil,Common,9.2,2025-01-18
Noibat (Poke Ball Pattern) | Holofoil,Common,2.35,2025-01-18
Ogre's Mask (Poke Ball Pattern) | Holofoil,Uncommon,2.58,2025-01-18
Okidogi (Master Ball Pattern) | Holofoil,Rare,18.0,2025-01-18
Okidogi (Poke Ball Pattern) | Holofoil,Rare,2.1,2025-01-18
Ortega | Holofoil,Ultra Rare,2.73,2025-01-18
Palafin ex | Holofoil,Special Illustration Rare,69.22,2025-01-18
Pecharunt ex | Holofoil,Special Illustration Rare,41.67,2025-01-18
Pikachu ex - 179/131 | Holofoil,Hyper Rare,172.32,2025-01-18
Pinsir (Master Ball Pattern) | Holofoil,Common,22.5,2025-01-18
Pinsir (Poke Ball Pattern) | Holofoil,Common,3.36,2025-01-18
Prime Catcher | Holofoil,ACE SPEC Rare,3.47,2025-01-18
Professor Sada's Vitality (Poke Ball Pattern) | Holofoil,Uncommon,3.38,2025-01-18
Professor's Research [Professor Elm] (Poke Ball Pattern) | Holofoil,Common,5.08,2025-01-18
Professor's Research [Professor Oak] (Poke Ball Pattern) | Holofoil,Common,4.11,2025-01-18
Professor's Research [Professor Rowan] (Poke Ball Pattern) | Holofoil,Common,2.3,2025-01-18
Pupitar (Master Ball Pattern) | Holofoil,Common,14.39,2025-01-18
Pyroar (Master Ball Pattern) | Holofoil,Uncommon,8.6,2025-01-18
Raging Bolt ex | Holofoil,Special Illustration Rare,99.99,2025-01-18
Raifort | Holofoil,Ultra Rare,7.85,2025-01-18
Regigigas (Master Ball Pattern) | Holofoil,Uncommon,28.71,2025-01-18
Regigigas (Poke Ball Pattern) | Holofoil,Uncommon,3.63,2025-01-18
Regigigas | Reverse Holofoil,Uncommon,2.05,2025-01-18
Riolu (Master Ball Pattern) | Holofoil,Common,21.19,2025-01-18
Riolu (Poke Ball Pattern) | Holofoil,Common,2.9,2025-01-18
Roaring Moon (Master Ball Pattern) | Holofoil,Rare,25.27,2025-01-18
Roaring Moon (Poke Ball Pattern) | Holofoil,Rare,2.52,2025-01-18
Roaring Moon ex | Holofoil,Special Illustration Rare,205.0,2025-01-18
Sandy Shocks ex - 159/131 | Holofoil,Special Illustration Rare,39.98,2025-01-18
Seaking (Master Ball Pattern) | Holofoil,Uncommon,8.39,2025-01-18
Shaymin (Poke Ball Pattern) | Holofoil,Uncommon,2.49,2025-01-18
Slowking (Master Ball Pattern) | Holofoil,Uncommon,26.0,2025-01-18
Slowking (Poke Ball Pattern) | Holofoil,Uncommon,4.28,2025-01-18
Slowpoke (Master Ball Pattern) | Holofoil,Common,23.49,2025-01-18
Slowpoke (Poke Ball Pattern) | Holofoil,Common,4.58,2025-01-18
Sneasel (Master Ball Pattern) | Holofoil,Common,23.0,2025-01-18
Sneasel (Poke Ball Pattern) | Holofoil,Common,3.96,2025-01-18
Snorlax ex | Holofoil,Double Rare,3.03,2025-01-18
Spritzee (Master Ball Pattern) | Holofoil,Common,10.3,2025-01-18
Spritzee (Poke Ball Pattern) | Holofoil,Common,2.37,2025-01-18
Suicune (Master Ball Pattern) | Holofoil,Uncommon,53.5,2025-01-18
Suicune (Poke Ball Pattern) | Holofoil,Uncommon,4.52,2025-01-18
Sylveon (Master Ball Pattern) | Holofoil,Rare,149.99,2025-01-18
Sylveon (Poke Ball Pattern) | Holofoil,Rare,12.38,2025-01-18
Sylveon ex - 041/131 | Holofoil,Double Rare,4.19,2025-01-18
Sylveon ex - 156/131 | Holofoil,Special Illustration Rare,738.05,2025-01-18
Sylveon | Reverse Holofoil,Rare,2.02,2025-01-18
Teal Mask Ogerpon ex - 145/131 | Holofoil,Special Illustration Rare,69.08,2025-01-18
Teal Mask Ogerpon ex - 177/131 | Holofoil,Hyper Rare,27.45,2025-01-18
Terapagos ex - 092/131 | Holofoil,Double Rare,2.43,2025-01-18
Terapagos ex - 169/131 | Holofoil,Special Illustration Rare,99.99,2025-01-18
Terapagos ex - 180/131 | Holofoil,Hyper Rare,38.39,2025-01-18
Umbreon (Master Ball Pattern) | Holofoil,Rare,550.0,2025-01-18
Umbreon (Poke Ball Pattern) | Holofoil,Rare,29.15,2025-01-18
Umbreon ex - 060/131 | Holofoil,Double Rare,8.72,2025-01-18
Umbreon ex - 161/131 | Holofoil,Special Illustration Rare,1618.75,2025-01-18
Umbreon | Reverse Holofoil,Rare,2.01,2025-01-18
Vaporeon (Master Ball Pattern) | Holofoil,Rare,85.83,2025-01-18
Vaporeon (Poke Ball Pattern) | Holofoil,Rare,4.0,2025-01-18
Vaporeon ex - 023/131 | Holofoil,Double Rare,5.04,2025-01-18
Vaporeon ex - 149/131 | Holofoil,Special Illustration Rare,368.5,2025-01-18
Vaporeon | Reverse Holofoil,Rare,3.07,2025-01-18
Walking Wake ex | Holofoil,Hyper Rare,27.0,2025-01-18
Wellspring Mask Ogerpon ex - 152/131 | Holofoil,Special Illustration Rare,48.25,2025-01-18
Whimsicott (Master Ball Pattern) | Holofoil,Rare,9.02,2025-01-18
Amarys - 132/131 | Holofoil,Ultra Rare,2.32,2025-01-19
Amarys - 170/131 | Holofoil,Special Illustration Rare,20.94,2025-01-19
Applin (Master Ball Pattern) | Holofoil,Common,9.1,2025-01-19
Applin (Poke Ball Pattern) | Holofoil,Common,2.12,2025-01-19
Archaludon (Master Ball Pattern) | Holofoil,Rare,18.83,2025-01-19
Aromatisse (Master Ball Pattern) | Holofoil,Common,7.13,2025-01-19
Atticus - 133/131 | Holofoil,Ultra Rare,2.51,2025-01-19
Black Belt's Training - 096/131 (Poke Ball Pattern) | Holofoil,Common,2.45,2025-01-19
Bloodmoon Ursaluna (Master Ball Pattern) | Holofoil,Rare,35.63,2025-01-19
Bloodmoon Ursaluna (Poke Ball Pattern) | Holofoil,Rare,3.03,2025-01-19
Bloodmoon Ursaluna ex | Holofoil,Special Illustration Rare,96.68,2025-01-19
Bronzong (Master Ball Pattern) | Holofoil,Uncommon,7.06,2025-01-19
Bronzor (Master Ball Pattern) | Holofoil,Common,12.85,2025-01-19
Buddy-Buddy Poffin (Poke Ball Pattern) | Holofoil,Uncommon,2.4,2025-01-19
Budew (Master Ball Pattern) | Holofoil,Common,36.84,2025-01-19
Budew (Poke Ball Pattern) | Holofoil,Common,10.39,2025-01-19
Carmine (Poke Ball Pattern) | Holofoil,Uncommon,3.29,2025-01-19
Ceruledge ex | Holofoil,Special Illustration Rare,146.83,2025-01-19
Ciphermaniac's Codebreaking (Poke Ball Pattern) | Holofoil,Uncommon,3.06,2025-01-19
Cornerstone Mask Ogerpon ex - 160/131 | Holofoil,Special Illustration Rare,65.0,2025-01-19
Cottonee (Master Ball Pattern) | Holofoil,Common,8.63,2025-01-19
Crispin - 171/131 | Holofoil,Special Illustration Rare,46.92,2025-01-19
Dipplin (Master Ball Pattern) | Holofoil,Uncommon,14.62,2025-01-19
Dragapult ex - 165/131 | Holofoil,Special Illustration Rare,111.98,2025-01-19
Drakloak (Master Ball Pattern) | Holofoil,Common,26.52,2025-01-19
