productId,lowPrice,midPrice,highPrice,market_price,directLowPrice,subTypeName,card_name,pulled_at
593294,13.95,15.99,124.8,14.92,,Normal,Prismatic Evolutions Booster Pack,2026-08-20 12:22:25.653359
593324,453.36,550.0,9999.0,453.41,,Normal,Prismatic Evolutions Pokemon Center Elite Trainer Box (Exclusive),2026-08-20 12:22:25.653359
593355,159.99,199.99,1719.5,166.49,,Normal,Prismatic Evolutions Elite Trainer Box,2026-08-20 12:22:25.653359
593356,104.88,119.92,1199.99,112.91,,Normal,Prismatic Evolutions Binder Collection,2026-08-20 12:22:25.653359
593359,37.5,45.0,499.99,41.48,,Normal,Prismatic Evolutions Poster Collection,2026-08-20 12:22:25.653359
593450,34.99,48.0,149.99,41.93,,Normal,Prismatic Evolutions Tech Sticker Collection [Sylveon],2026-08-20 12:22:25.653359
593451,39.95,47.0,149.99,42.8,,Normal,Prismatic Evolutions Tech Sticker Collection [Glaceon],2026-08-20 12:22:25.653359
593453,35.29,44.5,149.99,40.99,,Normal,Prismatic Evolutions Tech Sticker Collection [Leafeon],2026-08-20 12:22:25.653359
593455,33.99,41.71,100.0,38.27,,Normal,Prismatic Evolutions Mini Tin [Vaporeon],2026-08-20 12:22:25.653359
593456,31.99,35.5,100.0,34.15,,Normal,Prismatic Evolutions Mini Tin [Jolteon],2026-08-20 12:22:25.653359
593457,27.89,35.5,499.99,32.37,,Normal,Prismatic Evolutions Mini Tin [Flareon],2026-08-20 12:22:25.653359
593458,36.94,39.13,100.0,38.56,,Normal,Prismatic Evolutions Mini Tin [Espeon],2026-08-20 12:22:25.653359
593459,31.99,42.99,100.0,41.31,,Normal,Prismatic Evolutions Mini Tin [Umbreon],2026-08-20 12:22:25.653359
593460,33.95,37.99,50.0,34.7,,Normal,Prismatic Evolutions Mini Tin [Leafeon],2026-08-20 12:22:25.653359
593461,31.53,39.99,100.0,35.71,,Normal,Prismatic Evolutions Mini Tin [Glaceon],2026-08-20 12:22:25.653359
593462,39.99,44.0,75.0,40.14,,Normal,Prismatic Evolutions Mini Tin [Sylveon],2026-08-20 12:22:25.653359
593463,238.95,257.72,425.0,253.74,,Normal,Prismatic Evolutions Mini Tin Display,2026-08-20 12:22:25.653359
593466,54.97,75.0,5000.0,68.28,,Normal,Prismatic Evolutions Surprise Box,2026-08-20 12:22:25.653359
598470,434.99,515.29,800.0,404.72,,Normal,Prismatic Evolutions Surprise Box Case,2026-08-20 12:22:25.653359
598486,230.0,249.99,350.0,248.29,,Normal,Prismatic Evolutions Poster Collection Case,2026-08-20 12:22:25.653359
598487,1849.98,2499.66,4000.0,1829.92,,Normal,Prismatic Evolutions Elite Trainer Box Case,2026-08-20 12:22:25.653359
